,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,3.0,,,,,,,,,,,,,,,
2,5.0,,,,,,,,,,,,,,,
3,731.0,,,,,,,,,,,,,,,
4,7.0,,,,,,,,,,,,,,,
5,1196.0,,,,,,,,,,,,,,,
6,13.0,,,,,,,,,,,,,,,
7,15.0,,,,,,,,,,,,,,,
8,16.0,,,,,,,,,,,,,,,
9,18.0,,,,,,,,,,,,,,,
10,20.0,,,,,,,,,,,,,,,
11,21.0,,,,,,,,,,,,,,,
12,22.0,,,,,,,,,,,,,,,
13,24.0,,,,,,,,,,,,,,,
14,27.0,,,,,,,,,,,,,,,
15,29.0,,,,,,,,,,,,,,,
16,30.0,,,,,,,,,,,,,,,
17,31.0,,,,,,,,,,,,,,,
18,33.0,,,,,,,,,,,,,,,
19,34.0,,,,,,,,,,,,,,,
20,809.0,,,,,,,,,,,,,,,
21,37.0,,,,,,,,,,,,,,,
22,38.0,,,,,,,,,,,,,,,
23,43.0,,,,,,,,,,,,,,,
24,45.0,,,,,,,,,,,,,,,
25,48.0,,,,,,,,,,,,,,,
26,52.0,,,,,,,,,,,,,,,
27,56.0,,,,,,,,,,,,,,,
28,57.0,,,,,,,,,,,,,,,
29,58.0,,,,,,,,,,,,,,,
30,61.0,,,,,,,,,,,,,,,
31,62.0,,,,,,,,,,,,,,,
32,65.0,,,,,,,,,,,,,,,
33,67.0,,,,,,,,,,,,,,,
34,68.0,,,,,,,,,,,,,,,
35,71.0,,,,,,,,,,,,,,,
36,73.0,,,,,,,,,,,,,,,
37,75.0,,,,,,,,,,,,,,,
38,76.0,,,,,,,,,,,,,,,
39,77.0,,,,,,,,,,,,,,,
40,78.0,,,,,,,,,,,,,,,
41,80.0,,,,,,,,,,,,,,,
42,81.0,,,,,,,,,,,,,,,
43,82.0,,,,,,,,,,,,,,,
44,83.0,,,,,,,,,,,,,,,
45,85.0,,,,,,,,,,,,,,,
46,88.0,,,,,,,,,,,,,,,
47,90.0,,,,,,,,,,,,,,,
48,91.0,,,,,,,,,,,,,,,
49,92.0,,,,,,,,,,,,,,,
50,95.0,,,,,,,,,,,,,,,
51,96.0,,,,,,,,,,,,,,,
52,97.0,,,,,,,,,,,,,,,
53,101.0,,,,,,,,,,,,,,,
54,106.0,,,,,,,,,,,,,,,
55,107.0,,,,,,,,,,,,,,,
56,108.0,,,,,,,,,,,,,,,
57,109.0,,,,,,,,,,,,,,,
58,111.0,,,,,,,,,,,,,,,
59,113.0,,,,,,,,,,,,,,,
60,116.0,,,,,,,,,,,,,,,
61,117.0,,,,,,,,,,,,,,,
62,122.0,,,,,,,,,,,,,,,
63,959.0,,,,,,,,,,,,,,,
64,124.0,,,,,,,,,,,,,,,
65,512.0,,,,,,,,,,,,,,,
66,127.0,,,,,,,,,,,,,,,
67,128.0,,,,,,,,,,,,,,,
68,130.0,,,,,,,,,,,,,,,
69,131.0,,,,,,,,,,,,,,,
70,132.0,,,,,,,,,,,,,,,
71,135.0,,,,,,,,,,,,,,,
72,136.0,,,,,,,,,,,,,,,
73,137.0,,,,,,,,,,,,,,,
74,139.0,,,,,,,,,,,,,,,
75,140.0,,,,,,,,,,,,,,,
76,142.0,,,,,,,,,,,,,,,
77,144.0,,,,,,,,,,,,,,,
78,146.0,,,,,,,,,,,,,,,
79,150.0,,,,,,,,,,,,,,,
80,151.0,,,,,,,,,,,,,,,
81,153.0,,,,,,,,,,,,,,,
82,157.0,,,,,,,,,,,,,,,
83,158.0,,,,,,,,,,,,,,,
84,159.0,,,,,,,,,,,,,,,
85,169.0,,,,,,,,,,,,,,,
86,170.0,,,,,,,,,,,,,,,
87,171.0,,,,,,,,,,,,,,,
88,174.0,,,,,,,,,,,,,,,
89,178.0,,,,,,,,,,,,,,,
90,179.0,,,,,,,,,,,,,,,
91,180.0,,,,,,,,,,,,,,,
92,182.0,,,,,,,,,,,,,,,
93,186.0,,,,,,,,,,,,,,,
94,188.0,,,,,,,,,,,,,,,
95,190.0,,,,,,,,,,,,,,,
96,191.0,,,,,,,,,,,,,,,
97,192.0,,,,,,,,,,,,,,,
98,193.0,,,,,,,,,,,,,,,
99,196.0,,,,,,,,,,,,,,,
100,197.0,,,,,,,,,,,,,,,
101,199.0,,,,,,,,,,,,,,,
102,201.0,,,,,,,,,,,,,,,
103,203.0,,,,,,,,,,,,,,,
104,204.0,,,,,,,,,,,,,,,
105,205.0,,,,,,,,,,,,,,,
106,208.0,,,,,,,,,,,,,,,
107,210.0,,,,,,,,,,,,,,,
108,212.0,,,,,,,,,,,,,,,
109,213.0,,,,,,,,,,,,,,,
110,214.0,,,,,,,,,,,,,,,
111,217.0,,,,,,,,,,,,,,,
112,219.0,,,,,,,,,,,,,,,
113,221.0,,,,,,,,,,,,,,,
114,222.0,,,,,,,,,,,,,,,
115,223.0,,,,,,,,,,,,,,,
116,224.0,,,,,,,,,,,,,,,
117,794.0,,,,,,,,,,,,,,,
118,227.0,,,,,,,,,,,,,,,
119,228.0,,,,,,,,,,,,,,,
120,265.0,,,,,,,,,,,,,,,
121,229.0,,,,,,,,,,,,,,,
122,233.0,,,,,,,,,,,,,,,
123,235.0,,,,,,,,,,,,,,,
124,236.0,,,,,,,,,,,,,,,
125,239.0,,,,,,,,,,,,,,,
126,243.0,,,,,,,,,,,,,,,
127,244.0,,,,,,,,,,,,,,,
128,247.0,,,,,,,,,,,,,,,
129,251.0,,,,,,,,,,,,,,,
130,253.0,,,,,,,,,,,,,,,
131,258.0,,,,,,,,,,,,,,,
132,264.0,,,,,,,,,,,,,,,
133,266.0,,,,,,,,,,,,,,,
134,270.0,,,,,,,,,,,,,,,
135,271.0,,,,,,,,,,,,,,,
136,272.0,,,,,,,,,,,,,,,
137,274.0,,,,,,,,,,,,,,,
138,275.0,,,,,,,,,,,,,,,
139,277.0,,,,,,,,,,,,,,,
140,278.0,,,,,,,,,,,,,,,
141,240.0,,,,,,,,,,,,,,,
142,281.0,,,,,,,,,,,,,,,
143,283.0,,,,,,,,,,,,,,,
144,284.0,,,,,,,,,,,,,,,
145,286.0,,,,,,,,,,,,,,,
146,287.0,,,,,,,,,,,,,,,
147,288.0,,,,,,,,,,,,,,,
148,289.0,,,,,,,,,,,,,,,
149,291.0,,,,,,,,,,,,,,,
150,293.0,,,,,,,,,,,,,,,
151,294.0,,,,,,,,,,,,,,,
152,295.0,,,,,,,,,,,,,,,
153,296.0,,,,,,,,,,,,,,,
154,297.0,,,,,,,,,,,,,,,
155,299.0,,,,,,,,,,,,,,,
156,697.0,,,,,,,,,,,,,,,
157,707.0,,,,,,,,,,,,,,,
158,791.0,,,,,,,,,,,,,,,
159,307.0,,,,,,,,,,,,,,,
160,1174.0,,,,,,,,,,,,,,,
161,310.0,,,,,,,,,,,,,,,
162,314.0,,,,,,,,,,,,,,,
163,412.0,,,,,,,,,,,,,,,
164,318.0,,,,,,,,,,,,,,,
165,322.0,,,,,,,,,,,,,,,
166,323.0,,,,,,,,,,,,,,,
167,326.0,,,,,,,,,,,,,,,
168,327.0,,,,,,,,,,,,,,,
169,689.0,,,,,,,,,,,,,,,
170,332.0,,,,,,,,,,,,,,,
171,1296.0,,,,,,,,,,,,,,,
172,336.0,,,,,,,,,,,,,,,
173,338.0,,,,,,,,,,,,,,,
174,958.0,,,,,,,,,,,,,,,
175,339.0,,,,,,,,,,,,,,,
176,340.0,,,,,,,,,,,,,,,
177,343.0,,,,,,,,,,,,,,,
178,344.0,,,,,,,,,,,,,,,
179,345.0,,,,,,,,,,,,,,,
180,1163.0,,,,,,,,,,,,,,,
181,350.0,,,,,,,,,,,,,,,
182,351.0,,,,,,,,,,,,,,,
183,352.0,,,,,,,,,,,,,,,
184,355.0,,,,,,,,,,,,,,,
185,356.0,,,,,,,,,,,,,,,
186,358.0,,,,,,,,,,,,,,,
187,359.0,,,,,,,,,,,,,,,
188,360.0,,,,,,,,,,,,,,,
189,364.0,,,,,,,,,,,,,,,
190,366.0,,,,,,,,,,,,,,,
191,1159.0,,,,,,,,,,,,,,,
192,369.0,,,,,,,,,,,,,,,
193,370.0,,,,,,,,,,,,,,,
194,373.0,,,,,,,,,,,,,,,
195,374.0,,,,,,,,,,,,,,,
196,377.0,,,,,,,,,,,,,,,
197,381.0,,,,,,,,,,,,,,,
198,383.0,,,,,,,,,,,,,,,
199,385.0,,,,,,,,,,,,,,,
200,388.0,,,,,,,,,,,,,,,
201,389.0,,,,,,,,,,,,,,,
202,390.0,,,,,,,,,,,,,,,
203,392.0,,,,,,,,,,,,,,,
204,398.0,,,,,,,,,,,,,,,
205,399.0,,,,,,,,,,,,,,,
206,400.0,,,,,,,,,,,,,,,
207,401.0,,,,,,,,,,,,,,,
208,402.0,,,,,,,,,,,,,,,
209,407.0,,,,,,,,,,,,,,,
210,409.0,,,,,,,,,,,,,,,
211,411.0,,,,,,,,,,,,,,,
212,414.0,,,,,,,,,,,,,,,
213,415.0,,,,,,,,,,,,,,,
214,416.0,,,,,,,,,,,,,,,
215,418.0,,,,,,,,,,,,,,,
216,419.0,,,,,,,,,,,,,,,
217,421.0,,,,,,,,,,,,,,,
218,422.0,,,,,,,,,,,,,,,
219,423.0,,,,,,,,,,,,,,,
220,426.0,,,,,,,,,,,,,,,
221,573.0,,,,,,,,,,,,,,,
222,430.0,,,,,,,,,,,,,,,
223,431.0,,,,,,,,,,,,,,,
224,434.0,,,,,,,,,,,,,,,
225,440.0,,,,,,,,,,,,,,,
226,442.0,,,,,,,,,,,,,,,
227,443.0,,,,,,,,,,,,,,,
228,444.0,,,,,,,,,,,,,,,
229,445.0,,,,,,,,,,,,,,,
230,448.0,,,,,,,,,,,,,,,
231,450.0,,,,,,,,,,,,,,,
232,453.0,,,,,,,,,,,,,,,
233,455.0,,,,,,,,,,,,,,,
234,456.0,,,,,,,,,,,,,,,
235,457.0,,,,,,,,,,,,,,,
236,459.0,,,,,,,,,,,,,,,
237,461.0,,,,,,,,,,,,,,,
238,463.0,,,,,,,,,,,,,,,
239,464.0,,,,,,,,,,,,,,,
240,465.0,,,,,,,,,,,,,,,
241,466.0,,,,,,,,,,,,,,,
242,467.0,,,,,,,,,,,,,,,
243,468.0,,,,,,,,,,,,,,,
244,469.0,,,,,,,,,,,,,,,
245,471.0,,,,,,,,,,,,,,,
246,474.0,,,,,,,,,,,,,,,
247,475.0,,,,,,,,,,,,,,,
248,476.0,,,,,,,,,,,,,,,
249,482.0,,,,,,,,,,,,,,,
250,483.0,,,,,,,,,,,,,,,
251,484.0,,,,,,,,,,,,,,,
252,488.0,,,,,,,,,,,,,,,
253,489.0,,,,,,,,,,,,,,,
254,492.0,,,,,,,,,,,,,,,
255,493.0,,,,,,,,,,,,,,,
256,494.0,,,,,,,,,,,,,,,
257,496.0,,,,,,,,,,,,,,,
258,498.0,,,,,,,,,,,,,,,
259,503.0,,,,,,,,,,,,,,,
260,504.0,,,,,,,,,,,,,,,
261,505.0,,,,,,,,,,,,,,,
262,508.0,,,,,,,,,,,,,,,
263,955.0,,,,,,,,,,,,,,,
264,510.0,,,,,,,,,,,,,,,
265,858.0,,,,,,,,,,,,,,,
266,513.0,,,,,,,,,,,,,,,
267,516.0,,,,,,,,,,,,,,,
268,517.0,,,,,,,,,,,,,,,
269,520.0,,,,,,,,,,,,,,,
270,521.0,,,,,,,,,,,,,,,
271,522.0,,,,,,,,,,,,,,,
272,523.0,,,,,,,,,,,,,,,
273,525.0,,,,,,,,,,,,,,,
274,526.0,,,,,,,,,,,,,,,
275,527.0,,,,,,,,,,,,,,,
276,528.0,,,,,,,,,,,,,,,
277,529.0,,,,,,,,,,,,,,,
278,532.0,,,,,,,,,,,,,,,
279,537.0,,,,,,,,,,,,,,,
280,538.0,,,,,,,,,,,,,,,
281,540.0,,,,,,,,,,,,,,,
282,546.0,,,,,,,,,,,,,,,
283,548.0,,,,,,,,,,,,,,,
284,552.0,,,,,,,,,,,,,,,
285,554.0,,,,,,,,,,,,,,,
286,555.0,,,,,,,,,,,,,,,
287,558.0,,,,,,,,,,,,,,,
288,561.0,,,,,,,,,,,,,,,
289,562.0,,,,,,,,,,,,,,,
290,563.0,,,,,,,,,,,,,,,
291,564.0,,,,,,,,,,,,,,,
292,565.0,,,,,,,,,,,,,,,
293,567.0,,,,,,,,,,,,,,,
294,569.0,,,,,,,,,,,,,,,
295,575.0,,,,,,,,,,,,,,,
296,576.0,,,,,,,,,,,,,,,
297,577.0,,,,,,,,,,,,,,,
298,583.0,,,,,,,,,,,,,,,
299,584.0,,,,,,,,,,,,,,,
300,585.0,,,,,,,,,,,,,,,
301,587.0,,,,,,,,,,,,,,,
302,589.0,,,,,,,,,,,,,,,
303,590.0,,,,,,,,,,,,,,,
304,591.0,,,,,,,,,,,,,,,
305,593.0,,,,,,,,,,,,,,,
306,597.0,,,,,,,,,,,,,,,
307,602.0,,,,,,,,,,,,,,,
308,603.0,,,,,,,,,,,,,,,
309,604.0,,,,,,,,,,,,,,,
310,605.0,,,,,,,,,,,,,,,
311,607.0,,,,,,,,,,,,,,,
312,608.0,,,,,,,,,,,,,,,
313,610.0,,,,,,,,,,,,,,,
314,612.0,,,,,,,,,,,,,,,
315,614.0,,,,,,,,,,,,,,,
316,615.0,,,,,,,,,,,,,,,
317,620.0,,,,,,,,,,,,,,,
318,625.0,,,,,,,,,,,,,,,
319,1267.0,,,,,,,,,,,,,,,
320,626.0,,,,,,,,,,,,,,,
321,627.0,,,,,,,,,,,,,,,
322,628.0,,,,,,,,,,,,,,,
323,629.0,,,,,,,,,,,,,,,
324,630.0,,,,,,,,,,,,,,,
325,631.0,,,,,,,,,,,,,,,
326,632.0,,,,,,,,,,,,,,,
327,633.0,,,,,,,,,,,,,,,
328,634.0,,,,,,,,,,,,,,,
329,637.0,,,,,,,,,,,,,,,
330,642.0,,,,,,,,,,,,,,,
331,644.0,,,,,,,,,,,,,,,
332,648.0,,,,,,,,,,,,,,,
333,649.0,,,,,,,,,,,,,,,
334,651.0,,,,,,,,,,,,,,,
335,653.0,,,,,,,,,,,,,,,
336,655.0,,,,,,,,,,,,,,,
337,657.0,,,,,,,,,,,,,,,
338,659.0,,,,,,,,,,,,,,,
339,662.0,,,,,,,,,,,,,,,
340,663.0,,,,,,,,,,,,,,,
341,667.0,,,,,,,,,,,,,,,
342,668.0,,,,,,,,,,,,,,,
343,1054.0,,,,,,,,,,,,,,,
344,673.0,,,,,,,,,,,,,,,
345,674.0,,,,,,,,,,,,,,,
346,676.0,,,,,,,,,,,,,,,
347,677.0,,,,,,,,,,,,,,,
348,678.0,,,,,,,,,,,,,,,
349,681.0,,,,,,,,,,,,,,,
350,682.0,,,,,,,,,,,,,,,
351,683.0,,,,,,,,,,,,,,,
352,688.0,,,,,,,,,,,,,,,
353,690.0,,,,,,,,,,,,,,,
354,695.0,,,,,,,,,,,,,,,
355,698.0,,,,,,,,,,,,,,,
356,700.0,,,,,,,,,,,,,,,
357,702.0,,,,,,,,,,,,,,,
358,704.0,,,,,,,,,,,,,,,
359,462.0,,,,,,,,,,,,,,,
360,708.0,,,,,,,,,,,,,,,
361,709.0,,,,,,,,,,,,,,,
362,711.0,,,,,,,,,,,,,,,
363,712.0,,,,,,,,,,,,,,,
364,715.0,,,,,,,,,,,,,,,
365,716.0,,,,,,,,,,,,,,,
366,717.0,,,,,,,,,,,,,,,
367,718.0,,,,,,,,,,,,,,,
368,719.0,,,,,,,,,,,,,,,
369,724.0,,,,,,,,,,,,,,,
370,728.0,,,,,,,,,,,,,,,
371,732.0,,,,,,,,,,,,,,,
372,733.0,,,,,,,,,,,,,,,
373,734.0,,,,,,,,,,,,,,,
374,735.0,,,,,,,,,,,,,,,
375,738.0,,,,,,,,,,,,,,,
376,739.0,,,,,,,,,,,,,,,
377,740.0,,,,,,,,,,,,,,,
378,741.0,,,,,,,,,,,,,,,
379,745.0,,,,,,,,,,,,,,,
380,748.0,,,,,,,,,,,,,,,
381,750.0,,,,,,,,,,,,,,,
382,753.0,,,,,,,,,,,,,,,
383,754.0,,,,,,,,,,,,,,,
384,873.0,,,,,,,,,,,,,,,
385,758.0,,,,,,,,,,,,,,,
386,759.0,,,,,,,,,,,,,,,
387,760.0,,,,,,,,,,,,,,,
388,761.0,,,,,,,,,,,,,,,
389,762.0,,,,,,,,,,,,,,,
390,763.0,,,,,,,,,,,,,,,
391,765.0,,,,,,,,,,,,,,,
392,767.0,,,,,,,,,,,,,,,
393,768.0,,,,,,,,,,,,,,,
394,770.0,,,,,,,,,,,,,,,
395,771.0,,,,,,,,,,,,,,,
396,773.0,,,,,,,,,,,,,,,
397,776.0,,,,,,,,,,,,,,,
398,778.0,,,,,,,,,,,,,,,
399,779.0,,,,,,,,,,,,,,,
400,780.0,,,,,,,,,,,,,,,
401,781.0,,,,,,,,,,,,,,,
402,723.0,,,,,,,,,,,,,,,
403,786.0,,,,,,,,,,,,,,,
404,787.0,,,,,,,,,,,,,,,
405,790.0,,,,,,,,,,,,,,,
406,792.0,,,,,,,,,,,,,,,
407,795.0,,,,,,,,,,,,,,,
408,796.0,,,,,,,,,,,,,,,
409,797.0,,,,,,,,,,,,,,,
410,798.0,,,,,,,,,,,,,,,
411,799.0,,,,,,,,,,,,,,,
412,801.0,,,,,,,,,,,,,,,
413,805.0,,,,,,,,,,,,,,,
414,808.0,,,,,,,,,,,,,,,
415,812.0,,,,,,,,,,,,,,,
416,813.0,,,,,,,,,,,,,,,
417,815.0,,,,,,,,,,,,,,,
418,816.0,,,,,,,,,,,,,,,
419,817.0,,,,,,,,,,,,,,,
420,819.0,,,,,,,,,,,,,,,
421,822.0,,,,,,,,,,,,,,,
422,823.0,,,,,,,,,,,,,,,
423,829.0,,,,,,,,,,,,,,,
424,834.0,,,,,,,,,,,,,,,
425,835.0,,,,,,,,,,,,,,,
426,837.0,,,,,,,,,,,,,,,
427,838.0,,,,,,,,,,,,,,,
428,839.0,,,,,,,,,,,,,,,
429,840.0,,,,,,,,,,,,,,,
430,841.0,,,,,,,,,,,,,,,
431,842.0,,,,,,,,,,,,,,,
432,843.0,,,,,,,,,,,,,,,
433,844.0,,,,,,,,,,,,,,,
434,845.0,,,,,,,,,,,,,,,
435,846.0,,,,,,,,,,,,,,,
436,848.0,,,,,,,,,,,,,,,
437,863.0,,,,,,,,,,,,,,,
438,865.0,,,,,,,,,,,,,,,
439,866.0,,,,,,,,,,,,,,,
440,868.0,,,,,,,,,,,,,,,
441,869.0,,,,,,,,,,,,,,,
442,871.0,,,,,,,,,,,,,,,
443,874.0,,,,,,,,,,,,,,,
444,876.0,,,,,,,,,,,,,,,
445,879.0,,,,,,,,,,,,,,,
446,882.0,,,,,,,,,,,,,,,
447,883.0,,,,,,,,,,,,,,,
448,884.0,,,,,,,,,,,,,,,
449,885.0,,,,,,,,,,,,,,,
450,887.0,,,,,,,,,,,,,,,
451,890.0,,,,,,,,,,,,,,,
452,891.0,,,,,,,,,,,,,,,
453,893.0,,,,,,,,,,,,,,,
454,894.0,,,,,,,,,,,,,,,
455,895.0,,,,,,,,,,,,,,,
456,900.0,,,,,,,,,,,,,,,
457,902.0,,,,,,,,,,,,,,,
458,903.0,,,,,,,,,,,,,,,
459,909.0,,,,,,,,,,,,,,,
460,911.0,,,,,,,,,,,,,,,
461,914.0,,,,,,,,,,,,,,,
462,919.0,,,,,,,,,,,,,,,
463,920.0,,,,,,,,,,,,,,,
464,927.0,,,,,,,,,,,,,,,
465,928.0,,,,,,,,,,,,,,,
466,930.0,,,,,,,,,,,,,,,
467,931.0,,,,,,,,,,,,,,,
468,933.0,,,,,,,,,,,,,,,
469,1178.0,,,,,,,,,,,,,,,
470,935.0,,,,,,,,,,,,,,,
471,937.0,,,,,,,,,,,,,,,
472,938.0,,,,,,,,,,,,,,,
473,939.0,,,,,,,,,,,,,,,
474,943.0,,,,,,,,,,,,,,,
475,946.0,,,,,,,,,,,,,,,
476,951.0,,,,,,,,,,,,,,,
477,952.0,,,,,,,,,,,,,,,
478,953.0,,,,,,,,,,,,,,,
479,954.0,,,,,,,,,,,,,,,
480,957.0,,,,,,,,,,,,,,,
481,960.0,,,,,,,,,,,,,,,
482,962.0,,,,,,,,,,,,,,,
483,963.0,,,,,,,,,,,,,,,
484,964.0,,,,,,,,,,,,,,,
485,965.0,,,,,,,,,,,,,,,
